"id","coverage","age","wage","cit","mar","educ","race","esr"
41,"No Coverage",23,0,"Citizen","Never Married","Less than HS","Black","Not in Labor Force"
42,"No Coverage",20,0,"Citizen","Never Married","HS Degree","Black","Unemployed"
43,"No Coverage",47,0,"Citizen","Never Married","HS Degree","Black","Unemployed"
44,"No Coverage",36,0,"Citizen","Never Married","Undergraduate Degree","White","Employed Civilian"
45,"No Coverage",21,0,"Non-citizen","Never Married","HS Degree","Two or More","Unemployed"
46,"No Coverage",24,0,"Citizen","Never Married","Undergraduate Degree","Black","Unemployed"
47,"No Coverage",62,0,"Citizen","Separated","Less than HS","Black","Not in Labor Force"
48,"No Coverage",24,0,"Citizen","Never Married","Undergraduate Degree","White","Unemployed"
49,"No Coverage",34,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
50,"No Coverage",40,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
51,"No Coverage",44,0,"Citizen","Married","Less than HS","Asian","Employed Civilian"
52,"No Coverage",47,0,"Citizen","Married","Less than HS","Asian","Employed Civilian"
53,"No Coverage",41,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
54,"No Coverage",29,0,"Citizen","Never Married","Less than HS","Black","Not in Labor Force"
55,"No Coverage",29,0,"Citizen","Married","Less than HS","White","Unemployed"
56,"No Coverage",47,0,"Citizen","Separated","HS Degree","Black","Not in Labor Force"
57,"No Coverage",31,0,"Citizen","Never Married","HS Degree","Black","Unemployed"
58,"No Coverage",53,0,"Citizen","Never Married","Less than HS","White","Not in Labor Force"
59,"No Coverage",46,0,"Citizen","Never Married","HS Degree","Black","Unemployed"
60,"No Coverage",24,0,"Citizen","Never Married","Less than HS","Black","Employed Civilian"
61,"No Coverage",43,0,"Citizen","Married","Less than HS","Black","Employed Civilian"
62,"No Coverage",46,0,"Citizen","Never Married","HS Degree","Black","Unemployed"
63,"No Coverage",28,0,"Citizen","Divorced","Less than HS","White","Unemployed"
64,"No Coverage",50,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
65,"No Coverage",23,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
66,"No Coverage",16,0,"Citizen","Never Married","Less than HS","Black","Not in Labor Force"
67,"No Coverage",47,0,"Citizen","Never Married","Less than HS","Black","Not in Labor Force"
68,"No Coverage",36,0,"Citizen","Separated","HS Degree","Black","Not in Labor Force"
69,"No Coverage",44,0,"Citizen","Separated","HS Degree","Black","Not in Labor Force"
70,"No Coverage",32,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
71,"No Coverage",27,0,"Non-citizen","Never Married","HS Degree","White","Employed Civilian"
72,"No Coverage",38,0,"Non-citizen","Never Married","HS Degree","White","Employed Civilian"
73,"No Coverage",23,0,"Non-citizen","Never Married","HS Degree","White","Employed Civilian"
74,"No Coverage",49,0,"Citizen","Never Married","Less than HS","Black","Not in Labor Force"
75,"No Coverage",19,0,"Citizen","Never Married","HS Degree","Black","Unemployed"
76,"No Coverage",51,0,"Citizen","Divorced","HS Degree","White","Not in Labor Force"
77,"No Coverage",51,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
78,"No Coverage",23,0,"Citizen","Never Married","Less than HS","Black","Unemployed"
79,"No Coverage",43,0,"Citizen","Married","HS Degree","Black","Employed Civilian"
80,"No Coverage",43,0,"Citizen","Married","HS Degree","Black","Employed Civilian"
81,"No Coverage",53,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
82,"No Coverage",54,0,"Citizen","Separated","Undergraduate Degree","Two or More","Unemployed"
83,"No Coverage",53,0,"Citizen","Married","HS Degree","White","Employed Civilian"
84,"No Coverage",51,0,"Citizen","Married","HS Degree","Black","Not in Labor Force"
85,"No Coverage",38,0,"Citizen","Separated","HS Degree","White","Not in Labor Force"
86,"No Coverage",45,0,"Citizen","Divorced","HS Degree","Black","Employed Civilian"
87,"No Coverage",27,0,"Citizen","Never Married","Less than HS","Black","Not in Labor Force"
88,"No Coverage",44,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
89,"No Coverage",28,0,"Citizen","Married","Less than HS","White","Employed Civilian"
90,"No Coverage",23,0,"Citizen","Married","Less than HS","White","Not in Labor Force"
91,"No Coverage",49,0,"Citizen","Divorced","Less than HS","White","Unemployed"
92,"No Coverage",42,0,"Citizen","Never Married","HS Degree","White","Not in Labor Force"
93,"No Coverage",46,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
94,"No Coverage",21,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
95,"No Coverage",28,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
96,"No Coverage",27,0,"Citizen","Married","Less than HS","White","Not in Labor Force"
97,"No Coverage",39,0,"Citizen","Separated","HS Degree","White","Employed Civilian"
98,"No Coverage",21,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
99,"No Coverage",24,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
100,"No Coverage",21,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
101,"No Coverage",30,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
102,"No Coverage",32,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
103,"No Coverage",20,0,"Citizen","Never Married","HS Degree","White","Not in Labor Force"
104,"No Coverage",50,0,"Non-citizen","Separated","Less than HS","White","Employed Civilian"
105,"No Coverage",34,0,"Non-citizen","Never Married","Less than HS","White","Not in Labor Force"
106,"No Coverage",28,0,"Non-citizen","Never Married","Less than HS","White","Not in Labor Force"
107,"No Coverage",32,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
108,"No Coverage",45,0,"Citizen","Married","Graduate Degree","Asian","Unemployed"
109,"No Coverage",44,0,"Non-citizen","Married","Undergraduate Degree","Asian","Not in Labor Force"
110,"No Coverage",32,0,"Non-citizen","Never Married","Less than HS","Other","Employed Civilian"
111,"No Coverage",28,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
112,"No Coverage",41,0,"Citizen","Married","HS Degree","White","Not in Labor Force"
113,"No Coverage",48,0,"Citizen","Divorced","Less than HS","White","Unemployed"
114,"No Coverage",61,0,"Citizen","Married","Less than HS","Two or More","Unemployed"
115,"No Coverage",50,0,"Citizen","Never Married","Less than HS","Black","Not in Labor Force"
116,"No Coverage",25,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
117,"No Coverage",50,0,"Non-citizen","Divorced","Graduate Degree","Black","Not in Labor Force"
118,"No Coverage",31,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
119,"No Coverage",53,0,"Citizen","Married","HS Degree","Asian","Not in Labor Force"
120,"No Coverage",44,0,"Citizen","Married","HS Degree","Asian","Employed Civilian"
121,"No Coverage",19,0,"Citizen","Never Married","HS Degree","Asian","Not in Labor Force"
122,"No Coverage",60,0,"Citizen","Separated","Undergraduate Degree","White","Not in Labor Force"
123,"No Coverage",26,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
124,"No Coverage",20,0,"Citizen","Never Married","Less than HS","White","Employed Civilian"
125,"No Coverage",35,0,"Citizen","Never Married","Less than HS","White","Not in Labor Force"
126,"No Coverage",36,0,"Citizen","Married","HS Degree","White","Not in Labor Force"
127,"No Coverage",36,0,"Citizen","Married","HS Degree","White","Employed Civilian"
128,"No Coverage",40,0,"Citizen","Never Married","Less than HS","White","Not in Labor Force"
129,"No Coverage",42,0,"Citizen","Never Married","Less than HS","White","Not in Labor Force"
130,"No Coverage",37,0,"Citizen","Separated","Less than HS","Black","Employed Civilian"
131,"No Coverage",27,0,"Citizen","Never Married","Less than HS","Black","Employed Civilian"
132,"No Coverage",22,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
133,"No Coverage",41,0,"Citizen","Never Married","HS Degree","Black","Unemployed"
134,"No Coverage",23,0,"Citizen","Never Married","Less than HS","Black","Not in Labor Force"
135,"No Coverage",55,0,"Citizen","Married","Less than HS","White","Employed Civilian"
136,"No Coverage",55,0,"Citizen","Married","HS Degree","White","Not in Labor Force"
137,"No Coverage",35,0,"Citizen","Never Married","Less than HS","White","Employed Civilian"
138,"No Coverage",33,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
139,"No Coverage",35,0,"Non-citizen","Married","Less than HS","White","Employed Civilian"
140,"No Coverage",31,0,"Non-citizen","Married","Less than HS","White","Not in Labor Force"
141,"No Coverage",48,0,"Citizen","Divorced","HS Degree","Black","Employed Civilian"
142,"No Coverage",24,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
143,"No Coverage",26,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
144,"No Coverage",25,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
145,"No Coverage",24,0,"Citizen","Never Married","HS Degree","Black","Unemployed"
146,"No Coverage",18,0,"Citizen","Never Married","Less than HS","Black","Not in Labor Force"
147,"No Coverage",60,0,"Citizen","Married","HS Degree","White","Employed Civilian"
148,"No Coverage",63,0,"Citizen","Married","Undergraduate Degree","White","Not in Labor Force"
149,"No Coverage",49,0,"Citizen","Married","HS Degree","White","Unemployed"
150,"No Coverage",47,0,"Citizen","Married","HS Degree","White","Employed Civilian"
151,"No Coverage",52,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
152,"No Coverage",32,0,"Non-citizen","Married","Less than HS","Other","Employed Civilian"
153,"No Coverage",30,0,"Non-citizen","Married","Less than HS","Other","Employed Civilian"
154,"No Coverage",29,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
155,"No Coverage",56,0,"Citizen","Divorced","Undergraduate Degree","White","Employed Civilian"
156,"No Coverage",49,0,"Citizen","Married","Less than HS","White","Employed Civilian"
157,"No Coverage",27,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
158,"No Coverage",28,0,"Citizen","Never Married","Less than HS","White","Not in Labor Force"
159,"No Coverage",24,0,"Citizen","Married","HS Degree","White","Not in Labor Force"
160,"No Coverage",37,0,"Non-citizen","Married","HS Degree","Asian","Employed Civilian"
161,"No Coverage",45,0,"Citizen","Married","HS Degree","White","Unemployed"
162,"No Coverage",22,0,"Non-citizen","Never Married","HS Degree","Other","Employed Civilian"
163,"No Coverage",42,0,"Non-citizen","Married","Less than HS","White","Unemployed"
164,"No Coverage",45,0,"Non-citizen","Married","Less than HS","White","Employed Civilian"
165,"No Coverage",21,0,"Non-citizen","Never Married","Less than HS","White","Employed Civilian"
166,"No Coverage",34,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
167,"No Coverage",31,0,"Citizen","Married","HS Degree","White","Not in Labor Force"
168,"No Coverage",29,0,"Citizen","Married","HS Degree","White","Employed Civilian"
169,"No Coverage",25,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
170,"No Coverage",56,0,"Citizen","Divorced","HS Degree","Black","Unemployed"
171,"No Coverage",25,0,"Citizen","Married","HS Degree","White","Employed Civilian"
172,"No Coverage",24,0,"Citizen","Married","HS Degree","White","Employed Civilian"
173,"No Coverage",48,0,"Citizen","Married","Less than HS","White","Unemployed"
174,"No Coverage",50,0,"Citizen","Married","Less than HS","White","Unemployed"
175,"No Coverage",31,0,"Citizen","Never Married","Less than HS","White","Not in Labor Force"
176,"No Coverage",30,0,"Citizen","Never Married","Less than HS","White","Unemployed"
177,"No Coverage",29,0,"Citizen","Divorced","Less than HS","White","Not in Labor Force"
178,"No Coverage",19,0,"Citizen","Never Married","HS Degree","White","Unemployed"
179,"No Coverage",20,0,"Citizen","Never Married","Less than HS","Black","Not in Labor Force"
180,"No Coverage",18,0,"Citizen","Never Married","Less than HS","Black","Not in Labor Force"
181,"No Coverage",35,0,"Citizen","Divorced","HS Degree","White","Unemployed"
182,"No Coverage",42,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
183,"No Coverage",39,0,"Citizen","Married","HS Degree","White","Not in Labor Force"
184,"No Coverage",45,0,"Citizen","Married","Undergraduate Degree","White","Employed Civilian"
185,"No Coverage",26,0,"Non-citizen","Married","Less than HS","White","Employed Civilian"
186,"No Coverage",45,0,"Non-citizen","Married","Less than HS","White","Employed Civilian"
187,"No Coverage",38,0,"Non-citizen","Married","Less than HS","White","Employed Civilian"
188,"No Coverage",61,0,"Citizen","Never Married","HS Degree","White","Unemployed"
189,"No Coverage",49,0,"Citizen","Married","Less than HS","White","Unemployed"
190,"No Coverage",19,0,"Citizen","Never Married","HS Degree","White","Unemployed"
191,"No Coverage",18,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
192,"No Coverage",18,0,"Citizen","Never Married","Less than HS","Black","Not in Labor Force"
193,"No Coverage",29,0,"Non-citizen","Never Married","Less than HS","White","Not in Labor Force"
194,"No Coverage",26,0,"Non-citizen","Married","Less than HS","White","Unemployed"
195,"No Coverage",20,0,"Non-citizen","Married","Less than HS","White","Not in Labor Force"
196,"No Coverage",30,0,"Citizen","Married","HS Degree","White","Unemployed"
197,"No Coverage",31,0,"Citizen","Married","HS Degree","White","Employed Civilian"
198,"No Coverage",20,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
199,"No Coverage",39,0,"Citizen","Never Married","HS Degree","White","Not in Labor Force"
200,"No Coverage",37,0,"Citizen","Never Married","Less than HS","White","Employed Civilian"
201,"No Coverage",47,0,"Citizen","Divorced","Less than HS","Black","Not in Labor Force"
202,"No Coverage",62,0,"Non-citizen","Never Married","Less than HS","White","Employed Civilian"
203,"No Coverage",62,0,"Non-citizen","Never Married","Less than HS","White","Not in Labor Force"
204,"No Coverage",32,0,"Citizen","Married","Undergraduate Degree","White","Employed Civilian"
205,"No Coverage",34,0,"Citizen","Married","HS Degree","White","Not in Labor Force"
206,"No Coverage",31,0,"Citizen","Married","Less than HS","White","Not in Labor Force"
207,"No Coverage",42,0,"Citizen","Married","HS Degree","White","Unemployed"
208,"No Coverage",23,0,"Citizen","Never Married","Less than HS","White","Employed Civilian"
209,"No Coverage",19,0,"Non-citizen","Never Married","HS Degree","Asian","Not in Labor Force"
210,"No Coverage",53,0,"Citizen","Never Married","Graduate Degree","White","Employed Civilian"
211,"No Coverage",24,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
212,"No Coverage",19,0,"Citizen","Never Married","HS Degree","Black","Unemployed"
213,"No Coverage",18,0,"Citizen","Never Married","HS Degree","Black","Unemployed"
214,"No Coverage",60,0,"Citizen","Married","HS Degree","White","Employed Civilian"
215,"No Coverage",29,0,"Citizen","Married","HS Degree","White","Employed Civilian"
216,"No Coverage",31,0,"Citizen","Married","HS Degree","White","Employed Civilian"
217,"No Coverage",38,0,"Citizen","Never Married","Less than HS","Black","Unemployed"
218,"No Coverage",38,0,"Citizen","Never Married","Less than HS","Black","Not in Labor Force"
219,"No Coverage",38,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
220,"No Coverage",32,0,"Citizen","Never Married","HS Degree","White","Not in Labor Force"
221,"No Coverage",27,0,"Citizen","Separated","HS Degree","Black","Not in Labor Force"
222,"No Coverage",29,0,"Non-citizen","Never Married","HS Degree","White","Not in Labor Force"
223,"No Coverage",23,0,"Citizen","Never Married","Less than HS","White","Not in Labor Force"
224,"No Coverage",43,0,"Citizen","Separated","HS Degree","Black","Employed Civilian"
225,"No Coverage",19,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
226,"No Coverage",27,0,"Citizen","Divorced","Less than HS","White","Employed Civilian"
227,"No Coverage",44,0,"Citizen","Divorced","Less than HS","White","Unemployed"
228,"No Coverage",39,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
229,"No Coverage",57,0,"Citizen","Married","HS Degree","Black","Unemployed"
230,"No Coverage",21,0,"Citizen","Never Married","HS Degree","White","Unemployed"
231,"No Coverage",20,0,"Citizen","Divorced","Less than HS","White","Employed Civilian"
232,"No Coverage",23,0,"Citizen","Never Married","HS Degree","Black","Unemployed"
233,"No Coverage",34,0,"Citizen","Married","HS Degree","White","Employed Civilian"
234,"No Coverage",34,0,"Citizen","Married","Less than HS","White","Not in Labor Force"
235,"No Coverage",25,0,"Citizen","Never Married","Undergraduate Degree","Black","Unemployed"
236,"No Coverage",54,0,"Citizen","Divorced","HS Degree","White","Not in Labor Force"
237,"No Coverage",32,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
238,"No Coverage",39,0,"Citizen","Never Married","HS Degree","White","Not in Labor Force"
239,"No Coverage",54,0,"Citizen","Married","Graduate Degree","White","Employed Civilian"
240,"No Coverage",50,0,"Citizen","Divorced","Less than HS","White","Employed Civilian"
241,"No Coverage",34,0,"Non-citizen","Married","HS Degree","Black","Not in Labor Force"
242,"No Coverage",34,0,"Citizen","Married","HS Degree","Other","Employed Civilian"
243,"No Coverage",51,0,"Citizen","Divorced","HS Degree","White","Unemployed"
244,"No Coverage",23,0,"Citizen","Never Married","HS Degree","White","Not in Labor Force"
245,"No Coverage",20,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
246,"No Coverage",53,0,"Citizen","Never Married","Graduate Degree","Black","Employed Civilian"
247,"No Coverage",50,0,"Citizen","Married","Less than HS","Two or More","Employed Civilian"
248,"No Coverage",37,0,"Citizen","Never Married","Less than HS","Black","Not in Labor Force"
249,"No Coverage",30,0,"Non-citizen","Married","HS Degree","White","Employed Civilian"
250,"No Coverage",27,0,"Citizen","Married","HS Degree","White","Employed Civilian"
251,"No Coverage",32,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
252,"No Coverage",43,0,"Citizen","Married","Less than HS","White","Employed Civilian"
253,"No Coverage",35,0,"Citizen","Never Married","Undergraduate Degree","Black","Not in Labor Force"
254,"No Coverage",31,0,"Citizen","Married","HS Degree","Black","Employed Civilian"
255,"No Coverage",36,0,"Citizen","Married","HS Degree","Black","Not in Labor Force"
256,"No Coverage",28,0,"Citizen","Never Married","HS Degree","White","Unemployed"
257,"No Coverage",57,0,"Citizen","Divorced","Undergraduate Degree","Black","Employed Civilian"
258,"No Coverage",41,0,"Non-citizen","Never Married","HS Degree","Black","Unemployed"
259,"No Coverage",24,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
260,"No Coverage",33,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
261,"No Coverage",54,0,"Citizen","Separated","HS Degree","White","Not in Labor Force"
262,"No Coverage",37,0,"Citizen","Married","Undergraduate Degree","Asian","Employed Civilian"
263,"No Coverage",37,0,"Non-citizen","Married","Undergraduate Degree","Asian","Not in Labor Force"
264,"No Coverage",31,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
265,"No Coverage",20,0,"Citizen","Never Married","HS Degree","White","Unemployed"
266,"No Coverage",18,0,"Citizen","Never Married","HS Degree","White","Not in Labor Force"
267,"No Coverage",20,0,"Citizen","Married","HS Degree","White","Not in Labor Force"
268,"No Coverage",21,0,"Citizen","Married","HS Degree","White","Employed Civilian"
269,"No Coverage",54,0,"Citizen","Divorced","HS Degree","White","Unemployed"
270,"No Coverage",44,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
271,"No Coverage",60,0,"Citizen","Married","HS Degree","White","Employed Civilian"
272,"No Coverage",25,0,"Citizen","Separated","HS Degree","White","Employed Civilian"
273,"No Coverage",30,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
274,"No Coverage",59,0,"Citizen","Divorced","Graduate Degree","Black","Not in Labor Force"
275,"No Coverage",53,0,"Citizen","Divorced","Undergraduate Degree","Black","Not in Labor Force"
276,"No Coverage",54,0,"Non-citizen","Never Married","Less than HS","Black","Not in Labor Force"
277,"No Coverage",39,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
278,"No Coverage",49,0,"Citizen","Married","HS Degree","White","Employed Civilian"
279,"No Coverage",40,0,"Citizen","Married","HS Degree","White","Employed Civilian"
280,"No Coverage",20,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
281,"No Coverage",37,0,"Non-citizen","Married","Less than HS","Black","Not in Labor Force"
282,"No Coverage",35,0,"Non-citizen","Married","Less than HS","Black","Employed Civilian"
283,"No Coverage",33,0,"Non-citizen","Married","Less than HS","White","Employed Civilian"
284,"No Coverage",30,0,"Non-citizen","Married","Less than HS","White","Employed Civilian"
285,"No Coverage",25,0,"Non-citizen","Married","Less than HS","White","Employed Civilian"
286,"No Coverage",23,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
287,"No Coverage",32,0,"Non-citizen","Never Married","Less than HS","White","Employed Civilian"
288,"No Coverage",36,0,"Non-citizen","Divorced","Less than HS","White","Employed Civilian"
289,"No Coverage",20,0,"Non-citizen","Never Married","HS Degree","White","Employed Civilian"
290,"No Coverage",33,0,"Non-citizen","Married","HS Degree","White","Employed Civilian"
291,"No Coverage",40,0,"Non-citizen","Married","HS Degree","White","Not in Labor Force"
292,"No Coverage",16,0,"Non-citizen","Never Married","Less than HS","White","Not in Labor Force"
293,"No Coverage",59,0,"Citizen","Divorced","Undergraduate Degree","White","Unemployed"
294,"No Coverage",19,0,"Non-citizen","Never Married","HS Degree","White","Unemployed"
295,"No Coverage",28,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
296,"No Coverage",56,0,"Non-citizen","Married","Graduate Degree","Black","Not in Labor Force"
297,"No Coverage",65,0,"Non-citizen","Married","Graduate Degree","Black","Unemployed"
298,"No Coverage",31,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
299,"No Coverage",48,0,"Non-citizen","Married","HS Degree","White","Employed Civilian"
300,"No Coverage",46,0,"Citizen","Married","HS Degree","White","Unemployed"
301,"No Coverage",39,0,"Citizen","Married","Less than HS","Black","Employed Civilian"
302,"No Coverage",57,0,"Citizen","Never Married","HS Degree","White","Not in Labor Force"
303,"No Coverage",62,0,"Citizen","Never Married","HS Degree","Black","Unemployed"
304,"No Coverage",25,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
305,"No Coverage",24,0,"Citizen","Never Married","HS Degree","White","Not in Labor Force"
306,"No Coverage",63,0,"Non-citizen","Married","Undergraduate Degree","Black","Employed Civilian"
307,"No Coverage",49,0,"Non-citizen","Married","Undergraduate Degree","Black","Employed Civilian"
308,"No Coverage",20,0,"Non-citizen","Never Married","HS Degree","Black","Unemployed"
309,"No Coverage",58,0,"Citizen","Married","HS Degree","White","Employed Civilian"
310,"No Coverage",61,0,"Citizen","Married","HS Degree","White","Employed Civilian"
311,"No Coverage",58,0,"Citizen","Married","HS Degree","White","Not in Labor Force"
312,"No Coverage",57,0,"Citizen","Married","HS Degree","White","Not in Labor Force"
313,"No Coverage",48,0,"Citizen","Separated","HS Degree","White","Unemployed"
314,"No Coverage",21,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
315,"No Coverage",39,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
316,"No Coverage",30,0,"Citizen","Married","HS Degree","White","Employed Civilian"
317,"No Coverage",29,0,"Citizen","Married","HS Degree","White","Not in Labor Force"
318,"No Coverage",18,0,"Citizen","Never Married","HS Degree","Black","Not in Labor Force"
319,"No Coverage",46,0,"Non-citizen","Married","HS Degree","Asian","Employed Civilian"
320,"No Coverage",36,0,"Citizen","Married","Less than HS","Asian","Unemployed"
321,"No Coverage",24,0,"Citizen","Never Married","HS Degree","White","Employed Civilian"
322,"No Coverage",60,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
323,"No Coverage",21,0,"Citizen","Never Married","HS Degree","Black","Employed Civilian"
324,"No Coverage",38,0,"Citizen","Married","Less than HS","Black","Employed Civilian"
325,"No Coverage",28,0,"Citizen","Married","Less than HS","Black","Unemployed"
326,"No Coverage",20,0,"Citizen","Never Married","HS Degree","Black","Unemployed"
327,"No Coverage",27,0,"Citizen","Married","Less than HS","White","Employed Civilian"
328,"No Coverage",23,0,"Citizen","Married","HS Degree","White","Employed Civilian"
329,"No Coverage",55,0,"Citizen","Married","HS Degree","White","Employed Civilian"
330,"No Coverage",52,0,"Citizen","Married","HS Degree","White","Unemployed"
331,"No Coverage",54,0,"Citizen","Divorced","HS Degree","White","Employed Civilian"
332,"No Coverage",18,0,"Citizen","Never Married","HS Degree","White","Not in Labor Force"
333,"No Coverage",43,0,"Citizen","Married","HS Degree","White","Employed Civilian"
334,"No Coverage",44,0,"Citizen","Married","HS Degree","White","Employed Civilian"
335,"No Coverage",49,0,"Citizen","Married","HS Degree","White","Employed Civilian"
336,"No Coverage",44,0,"Citizen","Married","Less than HS","White","Not in Labor Force"
337,"No Coverage",50,0,"Citizen","Divorced","Less than HS","White","Unemployed"
